,time,h.div,mean.f.G1,mean.f.S,mean.f.G2,sd.f.G1,sd.f.S,sd.f.G2
2014-09-22 19:00:00,1411412400,0.0463095434479483,0.854039708185763,0.0992833283628042,0.0516769634514327,0.137014770188708,0.0740011140021568,0.0559425883746854
2014-09-22 21:00:00,1411419600,0.0395895113184324,0.902450008992659,0.0499688527002502,0.0475811383070911,0.0171280983839388,0.0277440070286812,0.0106159086447428
2014-09-22 22:55:00,1411426500,0.0343141744250477,0.931630442206796,0.031874934776167,0.0364946230170368,0.00111783729822341,0.0120110953383445,0.0108932580401213
2014-09-23 01:00:00,1411434000,0.0309869803820327,0.945812793449994,0.0337341648834935,0.0204530416665126,0.00209213134440741,0.0102094549808904,0.00883072214226142
2014-09-23 02:55:00,1411440900,0.0279186646007612,0.956605648189143,0.027227447507957,0.0161669043029008,0.00169940497380196,0.00044851571654081,0.00125088925726106
2014-09-23 05:00:00,1411448400,0.0352272746257369,0.927217095677513,0.0437979601748422,0.0289849441476445,NA,NA,NA
2014-09-23 07:05:00,1411455900,0.0294526269001479,0.951458101766453,0.0259760074158378,0.0225658908177095,0.00823177881299288,0.00299501211121328,0.0112267909242063
2014-09-23 09:00:00,1411462800,0.0328845190996515,0.938072674660569,0.0322928162593824,0.0296345090800484,0.0236209465892232,0.0140664010145796,0.00955454557464356
2014-09-23 11:00:00,1411470000,0.044086811265281,0.854136157344027,0.0630598560360062,0.0678039866199666,0.0238402910626325,0.00525448306186444,0.0591959379297521
2014-09-23 13:00:00,1411477200,0.0546545326709632,0.744435684774041,0.148003912611392,0.107560402614566,0.00202348306091975,0.00113415139086529,0.00315763445178579
2014-09-23 15:00:00,1411484400,0.0568114263090987,0.707745108937305,0.180815702040413,0.111439189022282,0.0393601290216943,0.0302280638065597,0.069588192828254
2014-09-23 17:00:00,1411491600,0.0572408219072009,0.699856712811791,0.175196897282741,0.124946389905469,0.0303181626989966,0.0362214172308404,0.0665395799298367
2014-09-23 19:00:00,1411498800,0.0484946544872797,0.826490880789321,0.112938385267554,0.0605707339431259,0.0166807615249722,0.0187239747585073,0.00204321323353558
2014-09-23 21:00:00,1411506000,0.0408330000669056,0.894118849988747,0.0417733926609234,0.0641077573503294,0.0203582007242244,0.0126864732465605,0.033044673970785
2014-09-23 23:00:00,1411513200,0.0292521240275425,0.95215815158938,0.0287309278808065,0.0191109205298137,0.0175028217181026,0.00146335267068789,0.0189661743887907
