filename,percent_G1,sample_id
Maria_and_Megan.20141028.A.0001.fcs,76.751,010
Maria_and_Megan.20141028.A.0002.fcs,87.121,013
Maria_and_Megan.20141028.A.0003.fcs,90.081,016
Maria_and_Megan.20141028.A.0004.fcs,89.702,019
Maria_and_Megan.20141028.A.0005.fcs,92.857,022
Maria_and_Megan.20141028.A.0006.fcs,92.57,019B
Maria_and_Megan.20141028.A.0007.fcs,93.508,025
Maria_and_Megan.20141028.A.0008.fcs,92.177,028
Maria_and_Megan.20141028.A.0009.fcs,93.798,031
Maria_and_Megan.20141028.A.0010.fcs,92.907,034
Maria_and_Megan.20141028.A.0011.fcs,79.757,037
Maria_and_Megan.20141028.A.0012.fcs,62.419,040
Maria_and_Megan.20141028.A.0013.fcs,63.405,043
Maria_and_Megan.20141028.A.0014.fcs,77.016,046
Maria_and_Megan.20141029.A.0001.fcs,83.128,049
Maria_and_Megan.20141029.A.0002.fcs,87.233,052
Maria_and_Megan.20141029.A.0003.fcs,71.247,011
Maria_and_Megan.20141029.A.0004.fcs,83.505,014
Maria_and_Megan.20141029.A.0005.fcs,92.76,017
Maria_and_Megan.20141029.A.0006.fcs,93.968,020
Maria_and_Megan.20141029.A.0007.fcs,93.73,023
Maria_and_Megan.20141029.A.0008.fcs,88.562,026
Maria_and_Megan.20141029.A.0009.fcs,92.643,029
Maria_and_Megan.20141029.A.0010.fcs,95.591,032
Maria_and_Megan.20141029.A.0011.fcs,88.877,035
Maria_and_Megan.20141029.A.0012.fcs,80.622,038
Maria_and_Megan.20141029.A.0013.fcs,67.569,041
Maria_and_Megan.20141029.A.0014.fcs,66.525,044
Maria_and_Megan.20141029.A.0015.fcs,82.131,047
Maria_and_Megan.20141029.A.0016.fcs,89.696,050
Maria_and_Megan.20141029.A.0017.fcs,91.011,053
