filename,sample_id,time,date
Maria_and_Megan.20141028.A.0001.fcs,10,19:00:00,09/22/14
Maria_and_Megan.20141028.A.0002.fcs,13,21:00:00,09/22/14
Maria_and_Megan.20141028.A.0003.fcs,16,22:55:00,09/22/14
Maria_and_Megan.20141028.A.0004.fcs,19,01:00:00,09/23/14
Maria_and_Megan.20141028.A.0005.fcs,22,02:55:00,09/23/14
Maria_and_Megan.20141028.A.0006.fcs,192,01:00:00,09/23/14
Maria_and_Megan.20141028.A.0007.fcs,25,05:00:00,09/23/14
Maria_and_Megan.20141028.A.0008.fcs,28,07:05:00,09/23/14
Maria_and_Megan.20141028.A.0009.fcs,31,09:00:00,09/23/14
Maria_and_Megan.20141028.A.0010.fcs,34,11:00:00,09/23/14
Maria_and_Megan.20141028.A.0011.fcs,37,13:00:00,09/23/14
Maria_and_Megan.20141028.A.0012.fcs,40,15:00:00,09/23/14
Maria_and_Megan.20141028.A.0013.fcs,43,17:00:00,09/23/14
Maria_and_Megan.20141028.A.0014.fcs,46,19:00:00,09/23/14
Maria_and_Megan.20141029.A.0001.fcs,49,21:00:00,09/23/14
Maria_and_Megan.20141029.A.0002.fcs,52,23:00:00,09/23/14
Maria_and_Megan.20141029.A.0003.fcs,11,19:00:00,09/22/14
Maria_and_Megan.20141029.A.0004.fcs,14,21:00:00,09/22/14
Maria_and_Megan.20141029.A.0005.fcs,17,22:55:00,09/22/14
Maria_and_Megan.20141029.A.0006.fcs,20,01:00:00,09/23/14
Maria_and_Megan.20141029.A.0007.fcs,23,02:55:00,09/23/14
Maria_and_Megan.20141029.A.0008.fcs,26,05:00:00,09/23/14
Maria_and_Megan.20141029.A.0009.fcs,29,07:05:00,09/23/14
Maria_and_Megan.20141029.A.0010.fcs,32,09:00:00,09/23/14
Maria_and_Megan.20141029.A.0011.fcs,35,11:00:00,09/23/14
Maria_and_Megan.20141029.A.0012.fcs,38,13:00:00,09/23/14
Maria_and_Megan.20141029.A.0013.fcs,41,15:00:00,09/23/14
Maria_and_Megan.20141029.A.0014.fcs,44,17:00:00,09/23/14
Maria_and_Megan.20141029.A.0015.fcs,47,19:00:00,09/23/14
Maria_and_Megan.20141029.A.0016.fcs,50,21:00:00,09/23/14
Maria_and_Megan.20141029.A.0017.fcs,53,23:00:00,09/23/14
