"time","div.ave","div.sd","div.se","div.n"
1411413973.75,NA,NA,NA,0
1411417574,0.0127292963603012,0.00036930667391458,6.97924011924573e-05,28
1411421174,0.0115730495184727,0.00201063406922426,0.000314008286372149,41
1411424774.25,0.0121374108900753,0.00194765031580005,0.000267530345753138,53
1411428374.5,0.0132885834640282,0.00203171805872954,0.000253964757341193,64
1411431974.5,0.0145741292206531,0.00223257855117535,0.000259531984884232,74
1411435574.5,0.0157263587253467,0.00250252032170413,0.000274687291221015,83
1411439174.5,0.0169516158948766,0.00280036001122747,0.000293557493713218,91
1411442774.75,0.0183249830689384,0.00317024693790952,0.000320243301118815,98
1411446374.75,0.0198093679632767,0.0034917819752522,0.000342397392865817,104
1411449975,0.0213969177134487,0.00390098286738798,0.000373646392858158,109
1411453575,0.0229870581772193,0.0041992019157844,0.000395027687273477,113
1411461736.75,0.026373490559421,0.00534092431595048,0.000495892373514232,116
1411465337,0.0280612089376857,0.00595827964868143,0.000550843148381397,117
1411468936.75,0.029856886398682,0.00651777464838428,0.000602568479401764,117
1411472537,0.0316621265187145,0.00716143085525753,0.00066207451677746,117
1411476162.5,0.0332873945199152,0.00765955320148764,0.00070812594397713,117
1411479762.5,0.0350102458436047,0.00825466840333035,0.000763144363850258,117
1411483813.75,0.0366439812282325,0.0088501232449099,0.000818194183428164,117
1411487043.5,0.0380804100684183,0.00969259504224662,0.000896080728644313,117
1411490734,0.0382595319707892,0.0102986501641011,0.000952110544480308,117
1411494334,0.0362320362120761,0.00946691978545804,0.00087521704377368,117
1411497934,0.0341343254801405,0.00849501176925131,0.000785364115889889,117
1411501534.33333,0.0322658390194459,0.00771453397770102,0.000713208918536159,117
1411505134,0.0293426301403102,0.00762079780063856,0.000807802951263401,89
1411508734.33333,0.0273881553434729,0.00705771101788739,0.000809574976307492,76
1411512334.66667,0.0259845923183813,0.00600524959445906,0.000750656199307383,64
1411515934.66667,0.0252317698493021,0.00470813475465281,0.000646712045045533,53
1411521348.66667,0.0252349117594402,0.00428497661147291,0.000653452807158268,43
1411524949,0.0253275043787167,0.00461916187791192,0.000792179726606108,34
1411528549,0.0241928225100269,0.00271628200800508,0.000532706729355341,26
1411532149,0.0242057770254607,0.00265210701720273,0.000608435077654831,19
1411535749,0.0241002363491559,0.00285924996290433,0.000793013257740005,13
1411539349.33333,0.023683470503067,0.00324311860180843,0.00114661557776549,8
1411542949.33333,0.0227702823169857,0.00291389079626101,0.0014569453981305,4
1411546549.33333,0.0217001528584232,0.00159996640721578,0.000923741035900388,3
1411550149.33333,0.0237090289884412,NA,NA,1
