Date,Time,particles_mL,datetime
9/12,9:51,175,09/12/2013 09:51:00
9/13,9:27,27,09/13/2013 09:27:00
9/16,12:38,48,09/16/2013 12:38:00
9/17,13:15,21,09/17/2013 13:15:00
9/19,16:30,323,09/19/2013 16:30:00
9/20,14:20,179,09/20/2013 14:20:00
9/23,17:30,209,09/23/2013 17:30:00
9/24,17:46,74,09/24/2013 15:34:00
9/25,14:45,156,09/25/2013 14:45:00
9/26,10:30,94.5,09/26/2013 10:30:00
9/27,10:03,37,09/27/2013 10:03:00
9/30,11:45,111,09/30/2013 11:45:00
10/1,11:40,80,10/01/2013 11:40:00
10/2,12:30,90,10/02/2013 12:30:00
10/3,13:50,164,10/03/2013 13:50:00
